Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Response Time CV,Final Batch Dispatch Time
1.0,1.0,0,0,0,0.0,0.0,0.988
2.0,2.0,3,0,0,0.205,0.8098295588188323,1.74
3.0,3.0,2,0,0,0.0735,0.028861501272920337,2.711
4.0,4.0,4,0,0,0.21600000000000003,1.348772494825704,3.715
5.0,5.0,6,0,0,0.085,0.46150048641571084,4.765
6.0,6.0,6,0,0,0.068,0.0372032665902162,5.973
7.0,7.0,7,0,0,0.060571428571428575,0.15186799172675933,6.896
8.0,8.0,8,0,0,0.07175,0.3346399220499783,7.883
9.0,9.0,9,0,0,0.06888888888888889,0.47602305075396867,8.951
10.0,10.0,7,0,0,0.08199999999999999,0.9610963153114135,9.873
11.0,11.0,9,0,0,0.1391111111111111,1.0882650877679017,10.93
12.0,12.0,14,0,0,0.3987857142857143,1.4811819811209477,11.964
13.0,13.0,14,0,0,0.1987142857142857,1.5154601001180819,12.934
14.0,14.0,15,0,0,0.13899999999999996,1.3569006859875128,14.031
15.0,15.0,10,0,0,0.0967,0.8735635860230115,14.981
16.0,16.0,15,0,0,0.10980000000000002,1.6893878175582802,15.923
17.0,17.0,13,0,0,0.11669230769230768,0.9485353916160113,16.922
18.0,18.0,12,0,0,0.3844166666666667,0.5884585587231671,17.982
19.0,19.0,13,0,0,0.45061538461538464,1.120494649434749,18.959
20.0,20.0,16,0,0,0.21718749999999998,1.0821002261987387,19.983
21.0,21.0,11,0,0,0.8673636363636364,0.6256805957477233,21.01
22.0,22.0,13,0,0,0.5331538461538461,0.47702827636017375,21.955
23.0,23.0,4,0,0,0.59875,1.8093042769544858,22.962
24.0,24.0,1,0,0,0.253,0.0,23.958
25.0,25.0,2,0,0,8.302,0.09045379446158922,24.99
26.0,26.0,35,0,0,2.564685714285714,1.0793629006755276,25.98
27.0,27.0,31,0,0,0.636225806451613,1.7245495368417842,26.998
28.0,28.0,18,0,0,0.9411111111111112,0.41441081194469964,27.96
29.0,29.0,76,0,0,2.0226842105263163,2.1775271902158164,28.986
30.0,30.0,47,0,0,0.35304255319148936,0.7558569088601808,29.971
31.0,31.0,45,0,0,0.40051111111111093,1.0219140750651994,30.983
32.0,32.0,37,0,0,0.31254054054054053,1.0580768712202178,31.987
33.0,33.0,33,0,0,1.1534545454545453,1.749776499988931,32.984
34.0,34.0,37,0,0,0.5681351351351351,2.0666869258396,34.008
35.0,35.0,29,0,0,0.48779310344827587,1.9640561092981899,35.011
36.0,36.0,33,0,0,0.3803636363636364,1.531041308086488,36.012
37.0,37.0,30,0,0,0.23003333333333334,0.6442327117739446,36.981
38.0,38.0,51,0,0,0.739607843137255,2.7615301708996944,37.991
39.0,39.0,42,0,0,0.6027857142857141,3.3259783616403276,38.988
40.0,40.0,38,0,0,0.897842105263158,2.407191288521163,39.974
41.0,41.0,39,0,0,0.7487692307692306,2.8981824671038074,40.992
42.0,42.0,39,0,0,0.8256923076923078,2.5500179598582626,41.985
43.0,43.0,52,0,0,0.7793846153846155,2.419107153581611,42.99
44.0,44.0,39,0,0,0.40792307692307683,3.1660814305194833,43.985
45.0,45.0,43,0,0,0.14799999999999996,1.1916308880532394,44.984
46.0,46.0,26,0,0,0.8525769230769232,2.2645461802641087,45.981
47.0,47.0,32,0,0,0.82484375,2.4465557473763133,46.997
48.0,48.0,25,0,0,0.6854,2.3684978285199048,48.025
49.0,49.0,24,0,0,1.1919166666666665,1.9934217177632756,48.983
50.0,50.0,41,0,0,0.4944146341463417,2.726476844210825,49.992
51.0,51.0,43,0,0,1.0272558139534882,1.8908100462305817,50.987
52.0,52.0,70,0,0,0.5667857142857143,2.989573250482507,51.988
53.0,53.0,55,0,0,0.6669090909090906,2.7451945403916946,52.995
54.0,54.0,43,0,0,0.9375581395348839,2.632815424852158,53.988
55.0,55.0,53,0,0,0.2803396226415094,1.551801435073308,54.977
56.0,56.0,30,0,0,0.7591333333333331,2.0539379900317374,55.987
57.0,57.0,46,0,0,0.9035217391304348,2.311091518788962,56.982
58.0,58.0,63,0,0,0.6033333333333333,2.6557774229679123,57.998
59.0,59.0,59,0,0,0.5667457627118645,2.767558103978911,58.976
60.0,60.0,62,0,0,0.3039677419354838,1.8842329816368295,59.987
61.0,0.0,80,0,0,0.38045000000000023,3.570659454006833,61.0
62.0,0.0,27,0,0,0.6481481481481481,2.762742998289867,62.0
63.0,0.0,27,0,0,1.9024074074074073,1.3270230041151523,63.0
