Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Response Time CV,Final Batch Dispatch Time
0.5,10.0,0,0,0,0.0,0.0,0.46
1.5,8.0,16,0,0,0.28968750000000004,0.6666168864345215,1.427
2.5,10.0,12,0,0,0.11674999999999998,0.5074424866149216,2.44
3.5,11.0,9,0,0,0.10277777777777777,0.6506704975798006,3.428
4.5,11.0,12,0,0,0.10416666666666667,0.4417675571445402,4.472
5.5,12.0,12,0,0,0.07566666666666666,0.5147043304939266,5.439
6.5,10.0,10,0,0,0.06630000000000001,0.5679711659171399,6.42
7.5,11.0,10,0,0,0.06820000000000001,0.548839077516721,7.427
8.5,9.0,10,0,0,0.0683,0.6269804003109962,8.342
9.5,11.0,12,0,0,0.07833333333333332,0.7644924739633577,9.485
10.5,11.0,11,0,0,0.06718181818181818,0.5904974137917346,10.479
11.5,9.0,8,0,0,0.08199999999999999,0.4026765216221232,11.504
12.5,13.0,14,0,0,0.05942857142857143,1.0492794286346891,12.531
13.5,11.0,9,0,0,0.04133333333333333,0.7367124183186345,13.457
14.5,11.0,10,0,0,0.088,0.5952636751685817,14.446
15.5,13.0,16,0,0,0.07581250000000002,1.0199113184700905,15.474
16.5,12.0,11,0,0,0.05963636363636364,0.5382738297504069,16.483
17.5,9.0,10,0,0,0.060399999999999995,0.6012261948275396,17.511
18.5,8.0,8,0,0,0.059750000000000004,1.0645249899115616,18.364
19.5,10.0,10,0,0,0.0876,0.7242078869634412,19.459
20.5,11.0,9,0,0,0.051,0.8489879086596966,20.409
21.5,9.0,11,0,0,0.06627272727272727,0.8527203999630659,21.392
22.5,10.0,10,0,0,0.0523,0.8582248969698636,22.491
23.5,12.0,10,0,0,0.0679,1.0533011856336514,23.442
24.5,11.0,12,0,0,0.07108333333333333,0.7068305971452042,24.485
25.5,10.0,10,0,0,0.0506,0.7896459882751755,25.4
26.5,9.0,9,0,0,0.10666666666666667,0.7465496807187382,26.375
27.5,8.0,9,0,0,0.07,1.0860666721369046,27.368
28.5,9.0,7,0,0,0.04385714285714286,1.4515692550025416,28.454
29.5,11.0,11,0,0,0.05009090909090908,0.8416283304287088,29.467
30.5,10.0,10,0,0,0.0447,1.0039761775825546,30.42
31.5,10.0,9,0,0,0.04733333333333334,1.3270817992738413,31.449
32.5,10.0,11,0,0,0.043727272727272726,0.8439314524414177,32.493
33.5,10.0,10,0,0,0.5564,3.007311537563374,33.388
34.5,8.0,7,0,0,0.031142857142857146,0.9090480908010602,34.479
35.5,10.0,12,0,0,0.6233333333333334,3.1397793499688533,35.419
36.5,10.0,8,0,0,0.017249999999999998,0.7030319397030024,36.433
37.5,11.0,10,0,0,0.0256,1.0605706543400217,37.433
38.5,11.0,11,0,0,0.5237272727272727,3.0275540617950907,38.45
39.5,12.0,12,0,0,0.0375,1.3595721252057076,39.49
40.5,11.0,10,0,0,0.0231,0.8045816840524804,40.406
41.5,12.0,14,0,0,0.4060714285714287,3.4407401397828865,41.407
42.5,13.0,12,0,0,0.5397500000000001,3.2442672042004514,42.436
43.5,10.0,10,0,0,0.6154999999999998,2.9920174007796407,43.514
44.5,8.0,8,0,0,0.7896250000000001,2.612157434738235,44.526
45.5,11.0,8,0,0,0.03525,1.7331684986219493,45.455
46.5,10.0,8,0,0,0.031875,0.7756496239992603,46.416
47.5,11.0,12,0,0,0.048749999999999995,1.1066601424333116,47.437
48.5,13.0,15,0,0,0.8042,2.544181631883752,48.456
49.5,10.0,8,0,0,0.6832500000000001,2.715656117622393,49.424
50.5,9.0,10,0,0,1.1473,2.0650765578331156,50.436
51.5,9.0,11,0,0,1.0819999999999999,2.1697265209648906,51.511
52.5,11.0,10,0,0,0.041499999999999995,1.5532255070187388,52.436
53.5,8.0,8,0,0,0.873875,2.7245422243880353,53.394
54.5,11.0,12,0,0,0.533,3.145448407881301,54.473
55.5,10.0,10,0,0,0.6322999999999999,2.874204691201298,55.363
56.5,9.0,9,0,0,0.720222222222222,2.7989382941479235,56.407
57.5,12.0,11,0,0,0.5625454545454546,3.2000949043434437,57.401
58.5,10.0,11,0,0,1.107909090909091,2.1260826079654875,58.431
59.5,12.0,10,0,0,0.012400000000000001,0.7519197306256812,59.43
60.5,10.0,9,0,0,0.028444444444444446,1.337221833296672,60.406
61.5,10.0,8,0,0,0.659875,2.761705273689638,61.387
62.5,11.0,12,0,0,0.9714999999999997,2.2375355574111224,62.519
63.5,10.0,11,0,0,1.0494545454545454,2.116637592247821,63.467
64.5,9.0,10,0,0,0.5488000000000001,2.9709077041635656,64.45
65.5,9.0,8,0,0,0.0285,0.988879823210642,65.47
66.5,11.0,11,0,0,1.0385454545454547,2.158886535217514,66.44
67.5,13.0,12,0,0,1.2074999999999998,2.221319596794021,67.411
68.5,13.0,10,0,0,0.6731,3.0772551193443403,68.387
69.5,9.0,9,0,0,0.8492222222222222,2.8990012218998937,69.393
70.5,8.0,8,0,0,0.952375,2.53345922214216,70.468
71.5,11.0,12,0,0,0.5319166666666666,3.2850491407860596,71.411
72.5,12.0,9,0,0,0.7636666666666667,2.8541637639402024,72.488
73.5,11.0,12,0,0,0.5911666666666666,3.2168776688286784,73.467
74.5,10.0,12,0,0,1.7143333333333333,1.7848832180448198,74.472
75.5,10.0,11,0,0,0.9794545454545456,2.3657954752425656,75.407
76.5,10.0,9,0,0,0.08066666666666666,1.2725343982866466,76.425
77.5,10.0,8,0,0,1.1902499999999998,2.6560241964741373,77.497
78.5,12.0,10,0,0,0.0818,1.1588829390278212,78.44
79.5,8.0,11,0,0,2.037090909090909,1.6724630636717885,79.443
80.5,11.0,12,0,0,1.3751666666666662,2.259121980413473,80.494
81.5,11.0,14,0,0,1.4065714285714286,2.5644551763847745,81.563
82.5,12.0,8,0,0,0.75825,2.718410422411407,82.446
83.5,10.0,13,0,0,1.6664615384615387,2.680198605614886,83.46
84.5,10.0,10,0,0,1.2698,3.075445492411725,84.494
85.5,11.0,8,0,0,1.9862500000000005,1.8116558443646629,85.399
86.5,10.0,10,0,0,0.9632,2.8342679213307074,86.388
87.5,12.0,12,0,0,0.5246666666666666,3.2002467555589846,87.475
88.5,10.0,10,0,0,0.6437999999999999,2.881563243528627,88.436
89.5,9.0,13,0,0,1.4875384615384613,1.8047077616169738,89.431
