Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Response Time CV,Final Batch Dispatch Time
0.5,10.0,0,0,0,0.0,0.0,0.526
1.5,8.0,0,0,0,0.0,0.0,1.449
2.5,10.0,0,0,0,0.0,0.0,2.46
3.5,11.0,0,0,0,0.0,0.0,3.411
4.5,11.0,0,0,0,0.0,0.0,4.467
5.5,12.0,0,0,0,0.0,0.0,5.51
6.5,10.0,0,0,0,0.0,0.0,6.392
7.5,11.0,0,0,0,0.0,0.0,7.535
8.5,9.0,0,0,0,0.0,0.0,8.472
9.5,11.0,0,0,0,0.0,0.0,9.428
10.5,11.0,0,0,0,0.0,0.0,10.392
11.5,9.0,0,0,0,0.0,0.0,11.364
12.5,13.0,0,0,0,0.0,0.0,12.554
13.5,11.0,0,0,0,0.0,0.0,13.504
14.5,11.0,0,0,0,0.0,0.0,14.533
15.5,13.0,0,0,0,0.0,0.0,15.427
16.5,12.0,0,0,0,0.0,0.0,16.387
17.5,9.0,0,0,0,0.0,0.0,17.445
18.5,8.0,0,0,0,0.0,0.0,18.456
19.5,10.0,0,0,0,0.0,0.0,19.404
20.5,11.0,0,0,0,0.0,0.0,20.388
21.5,9.0,0,0,0,0.0,0.0,21.391
22.5,10.0,0,0,0,0.0,0.0,22.43
23.5,12.0,0,0,0,0.0,0.0,23.444
24.5,11.0,0,0,0,0.0,0.0,24.488
25.5,10.0,0,0,0,0.0,0.0,25.4
26.5,9.0,0,0,0,0.0,0.0,26.375
27.5,8.0,0,0,0,0.0,0.0,27.367
28.5,9.0,0,0,0,0.0,0.0,28.454
29.5,11.0,0,0,0,0.0,0.0,29.466
30.5,10.0,0,0,0,0.0,0.0,30.417
31.5,10.0,0,0,0,0.0,0.0,31.447
32.5,10.0,0,0,0,0.0,0.0,32.489
33.5,10.0,0,0,0,0.0,0.0,33.383
34.5,8.0,0,0,0,0.0,0.0,34.475
35.5,10.0,0,0,0,0.0,0.0,35.425
36.5,10.0,0,0,0,0.0,0.0,36.427
37.5,11.0,0,0,0,0.0,0.0,37.438
38.5,11.0,0,0,0,0.0,0.0,38.453
39.5,12.0,0,0,0,0.0,0.0,39.491
40.5,11.0,0,0,0,0.0,0.0,40.404
41.5,12.0,0,0,0,0.0,0.0,41.401
42.5,13.0,0,0,0,0.0,0.0,42.426
43.5,10.0,0,0,0,0.0,0.0,43.514
44.5,8.0,0,0,0,0.0,0.0,44.523
45.5,11.0,0,0,0,0.0,0.0,45.451
46.5,10.0,0,0,0,0.0,0.0,46.417
47.5,11.0,0,0,0,0.0,0.0,47.426
48.5,13.0,0,0,0,0.0,0.0,48.461
49.5,10.0,0,0,0,0.0,0.0,49.428
50.5,9.0,0,0,0,0.0,0.0,50.438
51.5,9.0,0,0,0,0.0,0.0,51.512
52.5,11.0,0,0,0,0.0,0.0,52.436
53.5,8.0,0,0,0,0.0,0.0,53.396
54.5,11.0,0,0,0,0.0,0.0,54.502
55.5,10.0,0,0,0,0.0,0.0,55.442
56.5,9.0,0,0,0,0.0,0.0,56.511
57.5,12.0,0,0,0,0.0,0.0,57.445
58.5,10.0,0,0,0,0.0,0.0,58.439
59.5,12.0,0,0,0,0.0,0.0,59.44
60.5,10.0,0,7,0,0.0,0.0,60.403
61.5,10.0,0,11,0,0.0,0.0,61.431
62.5,11.0,0,9,0,0.0,0.0,62.403
63.5,10.0,0,12,0,0.0,0.0,63.447
64.5,9.0,0,11,0,0.0,0.0,64.367
65.5,9.0,0,12,0,0.0,0.0,65.494
66.5,11.0,0,10,0,0.0,0.0,66.491
67.5,13.0,0,11,0,0.0,0.0,67.482
68.5,13.0,0,9,0,0.0,0.0,68.433
69.5,9.0,0,11,0,0.0,0.0,69.497
70.5,8.0,0,11,0,0.0,0.0,70.401
71.5,11.0,0,10,0,0.0,0.0,71.498
72.5,12.0,0,5,0,0.0,0.0,72.505
73.5,11.0,0,0,0,0.0,0.0,73.511
74.5,10.0,0,0,0,0.0,0.0,74.496
75.5,10.0,0,0,0,0.0,0.0,75.406
76.5,10.0,0,0,0,0.0,0.0,76.483
77.5,10.0,0,0,0,0.0,0.0,77.493
78.5,12.0,0,0,0,0.0,0.0,78.461
79.5,8.0,0,0,0,0.0,0.0,79.454
80.5,11.0,0,0,0,0.0,0.0,80.478
81.5,11.0,0,0,0,0.0,0.0,81.54
82.5,12.0,0,0,0,0.0,0.0,82.518
83.5,10.0,0,0,0,0.0,0.0,83.477
84.5,10.0,0,0,0,0.0,0.0,84.472
85.5,11.0,0,0,0,0.0,0.0,85.452
86.5,10.0,0,0,0,0.0,0.0,86.401
87.5,12.0,0,0,0,0.0,0.0,87.407
88.5,10.0,0,0,0,0.0,0.0,88.39
89.5,9.0,0,0,0,0.0,0.0,89.457
90.5,0.0,0,0,0,0.0,0.0,90.5
91.5,0.0,0,0,0,0.0,0.0,91.5
92.5,0.0,0,0,0,0.0,0.0,92.5
93.5,0.0,0,0,0,0.0,0.0,93.5
94.5,0.0,0,0,0,0.0,0.0,94.5
95.5,0.0,0,0,0,0.0,0.0,95.5
96.5,0.0,0,0,0,0.0,0.0,96.5
97.5,0.0,0,0,0,0.0,0.0,97.5
98.5,0.0,0,0,0,0.0,0.0,98.5
99.5,0.0,0,0,0,0.0,0.0,99.5
100.5,0.0,0,0,0,0.0,0.0,100.5
101.5,0.0,0,0,0,0.0,0.0,101.5
102.5,0.0,0,0,0,0.0,0.0,102.5
103.5,0.0,0,0,0,0.0,0.0,103.5
104.5,0.0,0,0,0,0.0,0.0,104.5
105.5,0.0,0,0,0,0.0,0.0,105.5
106.5,0.0,0,0,0,0.0,0.0,106.5
107.5,0.0,0,0,0,0.0,0.0,107.5
108.5,0.0,0,0,0,0.0,0.0,108.5
109.5,0.0,0,0,0,0.0,0.0,109.5
110.5,0.0,0,0,0,0.0,0.0,110.5
111.5,0.0,0,0,0,0.0,0.0,111.5
112.5,0.0,0,0,0,0.0,0.0,112.5
113.5,0.0,0,0,0,0.0,0.0,113.5
114.5,0.0,0,0,0,0.0,0.0,114.5
115.5,0.0,0,0,0,0.0,0.0,115.5
116.5,0.0,0,0,0,0.0,0.0,116.5
117.5,0.0,0,0,0,0.0,0.0,117.5
118.5,0.0,0,0,0,0.0,0.0,118.5
119.5,0.0,0,0,0,0.0,0.0,119.5
120.5,0.0,0,9,0,0.0,0.0,120.5
121.5,0.0,0,9,0,0.0,0.0,121.5
122.5,0.0,0,9,0,0.0,0.0,122.5
123.5,0.0,0,12,0,0.0,0.0,123.5
124.5,0.0,0,11,0,0.0,0.0,124.5
125.5,0.0,0,11,0,0.0,0.0,125.5
126.5,0.0,0,11,0,0.0,0.0,126.5
127.5,0.0,0,11,0,0.0,0.0,127.5
128.5,0.0,0,6,0,0.0,0.0,128.5
129.5,0.0,0,13,0,0.0,0.0,129.5
130.5,0.0,0,11,0,0.0,0.0,130.5
131.5,0.0,0,10,0,0.0,0.0,131.5
